"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"6";"22-05-7038-03";"22-05-7038-03";"7395-03";"J2, J3, J5, J6, J8, J9";"CONNECTOR";"";"22-05-7038";"9731610 ";"26M6362";
"1";"CC-BY-NC-SA";"CC-BY-NC-SA";"CC-BY-NC-SA";"CC1";"";"";"";"";"unknown";
"1";"EXMACHINA-LOGO-NAME";"EXMACHINA-LOGO-NAME";"EXM-LOGO-BASELINE";"T1";"";"";"";"";"unknown";
"4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP1, JP2, JP3, JP4";"Fiducial Alignment Points";"";"";"";"unknown";
"4";"MOUNT-PAD3,0";"MOUNT-PAD3,0";"P3,0";"MP1, MP2, MP3, MP4";"MOUNTING HOLE with drill center marker";"";"";"";"unknown";
"1";"MSTBA2";"MSTBA2";"MSTBA2";"J10";"PHOENIX";"FARNELL";"1757242";"3705171";"71C4161";
"3";"MSTBA3";"MSTBA3";"MSTBA3";"J1, J4, J7";"PHOENIX";"FARNELL";"1757255";"3705183";"71C4162";
"3";"MY2";"MY2";"PY08";"K1, K2, K3";"";"OMRON COMPONENTS USA";"PY08";"";"36K3464";
